anio,semana,chart_date,country_code,banda,label_group,pct_streams
2021,1,2021-01-07,CO,10,Universal,0.2225706
2021,1,2021-01-07,CO,10,INgrooves,0.0
2021,1,2021-01-07,CO,10,Virgin,0.0
2021,1,2021-01-07,CO,10,Sony,0.51315083
2021,1,2021-01-07,CO,10,Orchard,0.19108284
2021,1,2021-01-07,CO,10,Warner,0.0
2021,1,2021-01-07,CO,10,Indies,0.07319574
2021,1,2021-01-07,CO,20,Universal,0.25296299
2021,1,2021-01-07,CO,20,INgrooves,0.03897079
2021,1,2021-01-07,CO,20,Virgin,0.0
2021,1,2021-01-07,CO,20,Sony,0.50982391
2021,1,2021-01-07,CO,20,Orchard,0.15440058
2021,1,2021-01-07,CO,20,Warner,0.0
2021,1,2021-01-07,CO,20,Indies,0.04384173
2021,1,2021-01-07,CO,50,Universal,0.31451158
2021,1,2021-01-07,CO,50,INgrooves,0.04753894
2021,1,2021-01-07,CO,50,Virgin,0.0
2021,1,2021-01-07,CO,50,Sony,0.4456905
2021,1,2021-01-07,CO,50,Orchard,0.120898
2021,1,2021-01-07,CO,50,Warner,0.04639317
2021,1,2021-01-07,CO,50,Indies,0.02496781
2021,1,2021-01-07,CO,100,Universal,0.31191245
2021,1,2021-01-07,CO,100,INgrooves,0.05107805
2021,1,2021-01-07,CO,100,Virgin,0.0
2021,1,2021-01-07,CO,100,Sony,0.37900125
2021,1,2021-01-07,CO,100,Orchard,0.14626505
2021,1,2021-01-07,CO,100,Warner,0.06690712
2021,1,2021-01-07,CO,100,Indies,0.04483609
2021,1,2021-01-07,CO,200,Universal,0.29549258
2021,1,2021-01-07,CO,200,INgrooves,0.04844619
2021,1,2021-01-07,CO,200,Virgin,0.00232845
2021,1,2021-01-07,CO,200,Sony,0.35102499
2021,1,2021-01-07,CO,200,Orchard,0.15717088
2021,1,2021-01-07,CO,200,Warner,0.07927646
2021,1,2021-01-07,CO,200,Indies,0.06626045
2021,2,2021-01-14,CO,10,Universal,0.35792654
2021,2,2021-01-14,CO,10,INgrooves,0.0
2021,2,2021-01-14,CO,10,Virgin,0.0
2021,2,2021-01-14,CO,10,Sony,0.45541341
2021,2,2021-01-14,CO,10,Orchard,0.18666005
2021,2,2021-01-14,CO,10,Warner,0.0
2021,2,2021-01-14,CO,10,Indies,0.0
2021,2,2021-01-14,CO,20,Universal,0.21481192
2021,2,2021-01-14,CO,20,INgrooves,0.0377156
2021,2,2021-01-14,CO,20,Virgin,0.0
2021,2,2021-01-14,CO,20,Sony,0.51707168
2021,2,2021-01-14,CO,20,Orchard,0.15090771
2021,2,2021-01-14,CO,20,Warner,0.03626285
2021,2,2021-01-14,CO,20,Indies,0.04323023
2021,2,2021-01-14,CO,50,Universal,0.3373676
2021,2,2021-01-14,CO,50,INgrooves,0.04691898
2021,2,2021-01-14,CO,50,Virgin,0.0
2021,2,2021-01-14,CO,50,Sony,0.42453429
2021,2,2021-01-14,CO,50,Orchard,0.12038611
2021,2,2021-01-14,CO,50,Warner,0.046097
2021,2,2021-01-14,CO,50,Indies,0.02469601
2021,2,2021-01-14,CO,100,Universal,0.32052119
2021,2,2021-01-14,CO,100,INgrooves,0.05285905
2021,2,2021-01-14,CO,100,Virgin,0.0
2021,2,2021-01-14,CO,100,Sony,0.38214635
2021,2,2021-01-14,CO,100,Orchard,0.14342483
2021,2,2021-01-14,CO,100,Warner,0.06718878
2021,2,2021-01-14,CO,100,Indies,0.0338598
2021,2,2021-01-14,CO,200,Universal,0.31979966
